head,rel,tail
2015年,全行业,统计年份,
全行业,完成,运输总周转量851.65亿吨公里,
运输总周转量851.65亿吨公里,与往年比,比上年增长13.8%,
运输总周转量851.65亿吨公里,其中,旅客周转量7282.55亿人公里,
旅客周转量7282.55亿人公里,与往年比,比上年增长15.0%,
运输总周转量851.65亿吨公里,其中,货邮周转量208.07亿吨公里,
货邮周转量208.07亿吨公里,与往年比,比上年增长10.8%,
2015年,国内航线,统计年份,
国内航线,完成,运输总周转量559.04亿吨公里,
运输总周转量559.04亿吨公里,与往年比,比上年增长10.0%,
国内航线,其中,港澳台航线,
港澳台航线,完成,16.22亿吨公里,
16.22亿吨公里,与往年比,比上年增长0.3%,
国际航线,完成,运输总周转量292.61亿吨公里,
运输总周转量292.61亿吨公里,与往年比,比上年增长21.9%,
2015年,国际航线,统计年份,
2015年,全行业,统计年份,
全行业,完成,旅客运输量43618万人次,
旅客运输量43618万人次,与往年比,比上年增长11.3%,
国内航线,完成,旅客运输量39411万人次,
旅客运输量39411万人次,与往年比,比上年增长9.4%,
国内航线,其中,港澳台航线,
港澳台航线,完成,1020万人次,
1020万人次,与往年比,比上年增长1.4%,
国际航线,完成,旅客运输量4207万人次,
旅客运输量4207万人次,与往年比,比上年增长33.3%,
2015年,全行业,统计年份,
全行业,完成,货邮运输量629.3万吨,
货邮运输量629.3万吨,与往年比,比上年增长5.9%,
国内航线,完成,货邮运输量442.4万吨,
货邮运输量442.4万吨,与往年比,比上年增长3.9%,
国内航线,其中,港澳台航线,
港澳台航线,完成,22.1万吨,
22.1万吨,与往年比,比上年减少1.0%,
国际航线,完成,货邮运输量186.82万吨,
货邮运输量186.82万吨,与往年比,比上年增长10.9%,
2015年,民航运输机场,统计年份,
民航运输机场,实现,旅客吞吐量[4]9.15亿人次,
旅客吞吐量[4]9.15亿人次,与往年比,比上年增长10.0%,
2015年,旅客吞吐量5.02亿人次,统计年份,
2015年,旅客吞吐量0.55亿人次,统计年份,
2015年,旅客吞吐量0.90亿人次,统计年份,
2015年,旅客吞吐量2.69亿人次,统计年份,
东部地区,完成,旅客吞吐量5.02亿人次,
东北地区,完成,旅客吞吐量0.55亿人次,
中部地区,完成,旅客吞吐量0.90亿人次,
西部地区,完成,旅客吞吐量2.69亿人次,
2015年,民航运输机场,统计年份,
民航运输机场,完成,货邮吞吐量[6]1409.40万吨,
货邮吞吐量[6]1409.40万吨,与往年比,比上年增长3.9%,
2015年,货邮吞吐量1062.88万吨,统计年份,
2015年,货邮吞吐量48.87万吨,统计年份,
2015年,货邮吞吐量85.89万吨,统计年份,
2015年,货邮吞吐量211.76万吨,统计年份,
